depth id strategy heuristic/moves solution_length visited processed max_depth solution_time(ms)
3 5 astr manh 3 8 4 3 6.453
3 5 bfs drlu 3 39 18 3 5.049
3 5 bfs drul 3 49 22 3 5.04
3 5 bfs ludr 3 28 13 3 5.01
3 5 bfs lurd 3 28 13 3 5.058
3 5 bfs rdlu 3 39 18 3 4.964
3 5 bfs rdul 3 49 22 3 4.958
3 5 bfs uldr 3 38 17 3 5.035
3 5 bfs ulrd 3 38 17 3 5.026
3 5 dfs drlu 9 19 10 9 6.893
3 5 dfs drul 19 40272 38650 20 78.539
3 5 dfs ludr 17 413355 389427 20 698.311
3 5 dfs lurd 19 474167 446663 20 816.022
3 5 dfs rdlu 9 19 10 9 6.759
3 5 dfs rdul 19 452 436 20 8.438
3 5 dfs uldr 19 186389 176586 20 327.854
3 5 dfs ulrd 17 123052 117077 20 232.69
3 6 astr hamm 3 9 4 3 6.148
3 6 astr manh 3 9 4 3 6.655
3 6 bfs drlu 3 71 35 3 5.132
3 6 bfs drul 3 71 35 3 5.247
3 6 bfs ludr 3 43 21 3 4.936
3 6 bfs lurd 3 34 16 3 4.946
3 6 bfs rdlu 3 62 30 3 5.221
3 6 bfs rdul 3 62 30 3 5.096
3 6 bfs uldr 3 43 21 3 4.982
3 6 bfs ulrd 3 34 16 3 5.01
3 6 dfs drlu 3 9 4 3 6.723
3 6 dfs drul 3 9 4 3 7.026
3 6 dfs ludr 17 515 495 20 8.471
3 6 dfs lurd 17 132566 125949 20 268.474
3 6 dfs rdlu 19 132347 125745 20 242.937
3 6 dfs rdul 19 114 95 20 6.986
3 6 dfs uldr 19 132377 125773 20 237.689
3 6 dfs ulrd 19 160 145 20 7.449
3 7 astr hamm 3 9 4 3 6.695
3 7 astr manh 3 9 4 3 6.784
3 7 bfs drlu 3 65 32 3 5.146
3 7 bfs drul 3 65 32 3 5.156
3 7 bfs ludr 3 37 18 3 4.896
3 7 bfs lurd 3 40 19 3 5.014
3 7 bfs rdlu 3 68 33 3 5.182
3 7 bfs rdul 3 68 33 3 5.21
3 7 bfs uldr 3 37 18 3 5.126
3 7 bfs ulrd 3 40 19 3 4.948
3 7 dfs drlu 19 109 89 20 6.917
3 7 dfs drul 19 132342 125739 20 236.679
3 7 dfs ludr 19 155 139 20 7.514
3 7 dfs lurd 19 132382 125777 20 249.519
3 7 dfs rdlu 11 132070 125494 20 247.771
3 7 dfs rdul 11 25 12 11 6.866
3 7 dfs uldr 19 110280 104981 20 204.357
3 7 dfs ulrd 17 541 522 20 9.085
3 8 astr hamm 3 9 5 3 7.973
3 8 astr manh 3 8 4 3 6.642
3 8 bfs drlu 3 49 22 3 4.999
3 8 bfs drul 3 39 18 3 5.013
3 8 bfs ludr 3 38 17 3 4.906
3 8 bfs lurd 3 38 17 3 5.083
3 8 bfs rdlu 3 49 22 3 7.24
3 8 bfs rdul 3 39 18 3 5.032
3 8 bfs uldr 3 28 13 3 5.114
3 8 bfs ulrd 3 28 13 3 5.305
3 8 dfs drlu 19 452 436 20 8.457
3 8 dfs drul 9 19 10 9 6.75
3 8 dfs ludr 17 123052 117077 20 244.654
3 8 dfs lurd 19 186389 176586 20 348.369
3 8 dfs rdlu 19 40272 38650 20 78.855
3 8 dfs rdul 9 19 10 9 6.834
3 8 dfs uldr 19 474167 446663 20 780.808
3 8 dfs ulrd 17 413355 389427 20 706.229
3 9 astr hamm 3 8 4 3 6.392
3 9 astr manh 3 8 4 3 6.598
3 9 bfs drlu 3 71 35 3 5.144
3 9 bfs drul 3 71 35 3 5.078
3 9 bfs ludr 3 47 23 3 5.197
3 9 bfs lurd 3 34 16 3 4.949
3 9 bfs rdlu 3 58 28 3 5.124
3 9 bfs rdul 3 58 28 3 5.072
3 9 bfs uldr 3 47 23 3 5.27
3 9 bfs ulrd 3 34 16 3 5.015
3 9 dfs drlu 3 8 4 3 6.749
3 9 dfs drul 3 8 4 3 6.624
3 9 dfs ludr 19 137 121 20 7.107
3 9 dfs lurd 19 132393 125786 20 247.931
3 9 dfs rdlu 17 132422 125811 20 243.025
3 9 dfs rdul 17 393 372 20 8.275
3 9 dfs uldr 19 85853 81965 20 161.117
3 9 dfs ulrd 17 601 581 20 8.749
3 10 astr hamm 3 6 4 3 7.139
3 10 astr manh 3 6 4 3 6.881
3 10 bfs drlu 3 39 17 3 5.288
3 10 bfs drul 3 39 17 3 5.081
3 10 bfs ludr 3 16 8 3 4.831
3 10 bfs lurd 3 16 8 3 4.981
3 10 bfs rdlu 3 39 17 3 4.932
3 10 bfs rdul 3 39 17 3 5.093
3 10 bfs uldr 3 16 8 3 4.897
3 10 bfs ulrd 3 16 8 3 4.982
3 10 dfs drlu 3 6 4 3 6.678
3 10 dfs drul 3 6 4 3 7.131
3 10 dfs ludr 19 98 84 20 7.089
